review_sentence,arousal,valence,cuisine
  i used pressure cooker to speed up the cooking process,5.395752767204584,5.290033713267022,Mexican
  i cooked the tripe twice as directed but i use pressure cooker instead,4.692383327154586,5.416246261528573,Mexican
  it cuts down the cooking process,4.973269277746112,5.185432835820896,Mexican
 yummy,4.48,7.52,Mexican
 my husband's grandma would have approved,3.2,7.5,Mexican
"okay, so it is a lot of steps and a lot of work but it was worth all of the effort",5.117316798196167,5.722909446328982,Mexican
 the end result was amazing,4.881363830426464,6.20474293059126,Mexican
 seriously the best birria i've ever eaten,4.686722905975605,6.133855848759353,Mexican
 it made a lot so i'm going to make quesabirria tacos with the leftovers,4.850355895092857,5.7963821152054615,Mexican
 can't wait,5.62,3.74,Mexican
"  /  /  jonathan melendez  1 yes, a great recipe ",4.314456066945606,7.145454545454545,Mexican
 but thanks to rick bayless ,4.05,7.73,Mexican
" in his book authentic mexican, published 1987",4.359619238476954,6.298107255520504,Mexican
  /  /  stickywicket1  1 it smells so good,5.4977330895795244,5.9007565789473695,Mexican
 but what happened to the next direction after saving the 3/4 cup of soaking liquid from the chiles,4.459990454054951,5.497912087912088,Mexican
 also it doesn't say when to add the bay leaves,3.685237366003063,6.484359663456994,Mexican
  /  /  jac kry  loved it,6.38,8.64,Mexican
 dbf is from jalisco and he was impressed,5.42,7.33,Mexican
 the smell was divine and the next day it made delicious burritos,4.135249196357851,6.578796933994583,Mexican
 i used a dutch oven with custard cups and a vegetable steamer since i don't have a roasting pan with a lid and it worked perfectly,4.026865747538823,5.913689444378523,Mexican
 thanks again pac baby for sharing your special recipe  /  /  stephanie y,4.356844499877094,7.625238365695219,Mexican
  thank you so much for this very tasty recipe ,4.372621492128678,7.204388250149531,Mexican
 it was right on,3.68590021691974,6.805196629213482,Mexican
  i made it with the goat's meat,4.250815850815851,6.208661971830986,Mexican
 the only thing i did not due it pour the tomatoes broth with it,3.82,6.25,Mexican
 that was changing my flavor when i tested it,4.41,6.45,Mexican
" now if you can just tell me how to make the salsa that goes on the side, that would have made it perfect",4.435137480354439,5.930733115104846,Mexican
these were so good,5.43,7.47,Mexican
" the recipe is a little bit involved as you have to make the meat first in a slow cooker, but totally worth it",4.4541579824130615,5.84682596241087,Mexican
 i'll definitely make these again,3.67,6.09,Mexican
  /  /  probably this  1 these are the best,4.6,7.18,Mexican
 i love them,6.44,8.72,Mexican
 and easy,4.48,7.1,Mexican
 im gonna make them soon,4.385783898305085,6.250642570281125,Mexican
"moxie, incredible recipe",5.250604838709677,7.169137466307278,Mexican
  incredible,6.35,7.59,Mexican
  my husband and i loved it,5.41770197486535,8.283551020408165,Mexican
"  he actually said that it was ""the single best thing i've ever made",4.728069182121187,6.037494128425085,Mexican
"""  can you believe it",3.2298774509803923,6.748823529411766,Mexican
"  i've been cooking for him for 14 years, lol",4.19,6.77,Mexican
 i had to put it away to stop him from eating the whole pan,4.720919352209148,5.42995717863195,Mexican
" i did as you suggested and elevated it to sublime using canarygirl's chicken verde, recipe #32918",4.645634722838437,6.006000984108097,Mexican
"  this os so esay to make, but the flavor is outstanding",5.301445544554455,7.090579710144927,Mexican
"  next time, (and there will be many, many more times making this) he was thinking i should try 2 layers",4.507891498336937,6.057965317335429,Mexican
"  i guess he wants more of a good thing, lol",5.55831302678795,6.088811154598824,Mexican
"  thanks mox, for sharing this recipe",4.257373271889401,7.2665680473372785,Mexican
"  /  /  ciao4293  6 my family loved this, moxie",4.861856255802189,7.768617932609938,Mexican
" we really enjoy these types of casseroles, very comforting and this one has a nice spice from the tomatillo sauce and creaminess from the sour cream",4.005420255711583,6.40623667676853,Mexican
" 
i used a whole roasted chicken that i purchased at the local grocer and i really liked the roasted flavor it added and the ease of prep",3.7997760249882293,6.18634294963968,Mexican
" another keeper, thank you",3.33,7.77,Mexican
  3 we loved this dish for our mexican night with refried beans and rice,5.119212073435971,7.531502308511898,Mexican
 my bf loves mexican food b/c it's his excuse to use lots of sour cream so i figured he would love this recipe,5.06624240045393,6.560535911354715,Mexican
 i was getting tired of beef soft tacos ( his fave) but really wanted something with lots of spice,4.9040863819340395,5.688462125637961,Mexican
  i also used recipe #32918 for the chicken,4.007301069217783,5.824132990811185,Mexican
  it really made the casserole outstanding,4.86054347826087,6.392823041338096,Mexican
  i could not find any green tomatillo sauce in cans so i made up a batch of my own tomatillo chile salsa instead,3.999708222822806,6.2470772249980975,Mexican
  i also had to substitute some oaxaca and monterrey jack for the chihuahua cheese since my store was out,4.460395283702387,5.849230680061824,Mexican
"  since i was cooking for only 2, i used a square 9x9"" baking dish and just cut down on all the ingredients slightly",4.1650031964610665,5.467090306745418,Mexican
  flavors were bright and spicy,5.990907216494845,6.942378048780487,Mexican
not too heavy at all,5.12,4.1,Mexican
and so easy to put together,4.8244274809160315,5.733819444444444,Mexican
  thanks for sharing,4.05,7.73,Mexican
"  /  /  atlfitgirl  2 thanks for the recipe,  /  /  sachin s",4.05,7.73,Mexican
  1 this recipe was fantastic,5.318976545842217,7.860878661087865,Mexican
 my entire family loved it,5.594397031539889,8.328982300884956,Mexican
 i used some seasoned pork i had left over from making tamales in place of the chicken and i used pepper jack cheese because that's what i had on hand,3.738414818700618,5.735106752635943,Mexican
 my family has already requested that i make this dish again soon,4.740187534356275,6.511732816882374,Mexican
very nice,4.38,6.55,Mexican
  tastes like a watermelon soda fixed with club soda,4.235541071160671,6.57680616306708,Mexican
  i had some watermelon that was not so great and decided to try this,5.472369228174832,6.5662155252135115,Mexican
"  i mixed the watermelon, sugar and lime juice without the water and stored it in the fridge",4.712855870947301,6.527529432860619,Mexican
" then when ready to drink it, mix 1part watermelon with 1 part club soda",4.241994750739083,6.318984717343357,Mexican
 also found a little extra sugar is good for a less than perfect melon,4.570872553173295,6.760577936486488,Mexican
  /  /  chocolatemousse  1 a simple and great recipe,3.779281997733624,7.154333082140166,Mexican
 agua fresca is super refreshing and amazing for a hot summer day,4.538077951725948,6.837256829400033,Mexican
  /  /  probably this  i agree that less water should be used if you want a stronger watermelon taste,4.529980211653043,6.349275044344378,Mexican
" otherwise, nice and refreshing",4.17718253968254,6.857304785894206,Mexican
  /  /  cali_love  this is very good,5.43,7.47,Mexican
" i'll probably put in a little less water, or a little more watermelon next time since i would like a little stronger watermelon flavour",4.771776284587267,6.351569784797964,Mexican
 this is a great alternate for lemonade,4.392026768642447,7.255932203389831,Mexican
 made for zwt4,4.2,5.96,Mexican
  /  /  scarlett516  refreshing,4.0,7.05,Mexican
  not sweet,4.14,7.77,Mexican
  very mild watermelon flavor,4.558409198597467,6.254921214889244,Mexican
  nice summer drink,5.010402348708302,6.932540145985401,Mexican
  used splenda in place of sugar which worked great,4.144066898242908,5.858661761057563,Mexican
  made for zwt4,4.2,5.96,Mexican
delicious,4.92,7.38,Mexican
" the whole family enjoyed, including my vegetarian son",4.313024798633885,6.7606520703739506,Mexican
"  /  /  br2brown  i've never had enfrijoladas before, and am totally in love with the beans",6.44,8.72,Mexican
 very tasty,5.28,6.89,Mexican
"  /  /  limeandspoontt  awesome recipe, i made these with a pot of kidney beans i had boiled and they turned out great",4.588949539696728,6.1445277144021215,Mexican
  i think this can be made with any bean,3.6158752298635584,6.264722265197007,Mexican
  /  /  sophia  mayas mom ,4.62,7.64,Mexican
"i pretty much make a pot of grains each week to add to soups,have on the side or with a stir fry",4.865053401029927,5.8523342326022805,Mexican
i always make long grain brown rice,3.67,6.09,Mexican
this works well with that also,4.291506849315068,6.652564102564103,Mexican
i just add a tablespoon of water to the rice and microwave it to heat/steam it,4.474045174537987,6.419464788732395,Mexican
yea and this is great with an egg,3.9387795275590545,6.365454545454545,Mexican
and some beans as a complete meal,3.628571428571428,6.798029556650246,Mexican
  /  /  ruth e,3.72,5.06,Mexican
  we loved this,6.38,8.64,Mexican
 such a tasty combo of flavors we never really had together,4.702592701779616,6.267571688192778,Mexican
 my husband through a fried egg on top of the leftovers and enjoyed it so much,3.961096494066537,6.782519554258418,Mexican
 thanks for the delicious recipe,4.4367084309335665,7.302330241105231,Mexican
"  /  /  frostingnfettuccine  i made this to go with the shrimp i made for dinner last night, and we enjoyed it",4.3970273494198215,6.623966718665746,Mexican
" i didn't have link chorizo, but i had some ground chorizo",4.196371490280777,5.5395,Mexican
" i also forgot to measure out my cooked rice before mixing it in, but i had made my usual size batch of rice (8oz uncooked rice)",4.740365862262864,5.9649810870277555,Mexican
" it may have cooked up to 3 cups after expansion, but i'm not sure",3.9930641330166274,6.5738509316770175,Mexican
" dh was especially happy with this rice, since he's from michoacan",6.49,8.21,Mexican
" thanks for posting, we'll be using this recipe again for sure",3.938747920265358,6.295554678361599,Mexican
  /  /  muffin goddess ,4.664652908067541,6.599853658536585,Mexican
i'd never come across memelas before but i'm so glad i made them,4.2087538112825476,6.326739409499359,Mexican
 these are seriously good ,4.566546610169491,6.1356146179402,Mexican
 the queso fresco was such a nice salty counter to the spicy tomato sauce,4.671552197388143,6.423806457583643,Mexican
 these were pretty simple to make as well and i'm sure there are so many possible variations with different toppings,4.138620243516751,6.938536550106024,Mexican
  /  /  izy hossack  2 this is an easy and delicious recipe,4.595972517423755,7.098085829122403,Mexican
  i will do this again and i think i will as well with some refried beans as i think it would be prefect with that and some with avocados or guacamole,3.5651054251351826,6.787039807104853,Mexican
  the only thing i changed is that i flattened them with a tortilla press to cut down on the work and time needed to make them,4.304141482282648,5.330438428668186,Mexican
  thanks,4.05,7.73,Mexican
  made for zwt 8,4.2,5.96,Mexican
  /  /  tea girl ,2.8274757281553398,6.744469135802469,Mexican
we first sampled this dish (or a version of it) in cabo,5.205395683453236,6.754237918215614,Mexican
 your recipe is right on the money as far as we are concerned,4.602036332162258,6.492278693465779,Mexican
 we have made it several times to rave reviews and did not change a thing,4.634127030448919,5.637854433334189,Mexican
  /  /  chef med  2 such a good hearty meal,4.068867681391278,7.027403537915022,Mexican
" i liked the idea of adding beans into it, and will definitely try that next time",5.1550595996737885,6.541195801895251,Mexican
" the spices were perfect, not too spicy, just perfect",4.71,7.19,Mexican
  /  /  frostingnfettuccine  1 excellent,5.15,7.56,Mexican
  i love molcajete and now i am so excited to be able to make it myself,4.510878156049472,7.532204212718446,Mexican
 this recipe is so good,4.864615384615385,7.175245901639344,Mexican
  i used low sodium bullion  and the only other thing i did differently was to double the mushrooms,4.205805818756396,4.6159353207142315,Mexican
  thank you for the recipe,3.918,7.339036544850497,Mexican
  different but good,5.43,7.47,Mexican
  /  /  brandidt  this is my husbands ( and everyone else who we have made it for) favorite,4.278700361010831,6.463322368421053,Mexican
 we used turkey instead of the beef and turkey bacon ,5.456488453803777,6.101359166756784,Mexican
 but is is also awesome with the beef and regular bacon,4.488676769748349,6.939875317837987,Mexican
 everyone loved it and is asking for the recipe,5.295639412997904,8.089826839826841,Mexican
"very good  /  /  tanya  these are fantastic and satisfying, but still light and fresh",4.315024922997738,6.988701902446955,Mexican
" i love a recipe that has great balance, and this has a great combo of fatty crunchy goodness along with fresh bright flavors from the salsas and cabbage (if using)",4.282095921139729,6.961114034107907,Mexican
 this makes a great lunch,3.9471807780027985,6.429263872222451,Mexican
so happy i tried this dish,6.525489950174558,6.525746623597936,Mexican
 the unexpected mix of flavors works so well in this bread pudding,4.0760068934703515,6.642082111130884,Mexican
 we were still picking it at long after dinner was over,4.480094970861213,5.792549772127609,Mexican
 thanks for the recipe,4.257373271889401,7.2665680473372785,Mexican
"  /  /  frostingnfettuccine  3 nanita, your capirotada is so much like my mother's with the exception that she did not use onion",4.329577464788732,6.4369465648854955,Mexican
" recipes for mexican food are as varied as there are mexicans, many",5.92,7.65,Mexican
 the recipe that i use has been n with my family for more than 150 years,4.491704804251166,6.602852950766222,Mexican
 i really like your idea to cube the bread to toast and butter it,4.2364375552016655,6.457339584200044,Mexican
 thank you for your recipe,3.918,7.339036544850497,Mexican
  /  /  art g,4.86,6.68,Mexican
  1 i wasa looking for a capirotada recipe,4.738782201405153,6.285658914728682,Mexican
" and found this one, it is the closest to the one my mom used to make",4.055631952955274,6.227670532623852,Mexican
 and i plan to surpriser soon,4.472387096774193,6.264255319148935,Mexican
 i will let you know what she says,3.001769041769042,6.824137931034482,Mexican
 i know she will be shocked to taste this one,3.9550623447735394,5.940716198481316,Mexican
 she was kinda pusing me to make some,3.67,6.09,Mexican
 and i told her i would,5.26,5.08,Mexican
 thanks :,4.05,7.73,Mexican
rapter  we enjoyed it,5.2,8.02,Mexican
 tasted like the one made when i was a little girl,4.0979745202029045,6.521843567837744,Mexican
 it will now be passed to my 2 grown daughters,3.7369868937360238,6.469050386700439,Mexican
  /  /  zoeymom  i am so glad to find this traditional recipe for capirotada,3.9334146635928273,6.976557377049181,Mexican
all the others are nothing more than american bread pudding that some people want to call capirotada,4.181493817921821,5.829272259934799,Mexican
  my family adds chopped tomato to ours as well,4.363752562616989,7.33244399328741,Mexican
"this mole sauce is so worth the time and effort, love the depth of flavor",4.754266665865472,7.351990863725515,Mexican
" after the sauce was made this was a snap to put together, we froze the leftovers for next time",4.448446129106247,5.570691209058635,Mexican
"  /  /  frostingnfettuccine  this didn't work for me, probably because i could not find mexican chocolate, and used hershey's natural unsweetened cocoa instead",4.185211016503977,6.076089172744961,Mexican
  i don't blame the recipe,4.602616632860041,5.072727272727272,Mexican
"  by all means, do not use hershey chocolate for this recipe",4.647955188412357,6.340503930773146,Mexican
 it is incompatible with this recipe,4.090245901639344,4.695018450184502,Mexican
"  to sample the sauce, i was glad i had made 1/4 the recipe, because i didn't have room in the freezer for a gallon of mole sauce anyway",4.079273704506211,6.1849118019232865,Mexican
"  my results were so bad, i was happy to eat leftover shredded chicken from recipe #369106 prepared in a 2",4.807068010620718,6.835790934028429,Mexican
l pressure cooker with 2 large chicken breasts,4.727101449275363,4.674495677233429,Mexican
  i guess i'll order some mexican chocolate through penzeys and try this again,6.251221358428805,6.060960893854748,Mexican
  at least my beefeater tomatoes were from mexico,3.82,6.25,Mexican
  i'm sure i was the problem,4.120792291220557,5.007174447174447,Mexican
 rick bayless is a great chef,3.488422222222222,6.805093833780161,Mexican
  made for please review my recipe tag game,4.999382702610336,5.95935822843464,Mexican
these little guys are delicious,5.390300884955751,6.726830769230769,Mexican
 they are perfect for after school snack for my kiddos when they come home hungry but not yet ready for dinner,4.599603225410367,6.374408869367132,Mexican
 also good the next day if you just warm it up for 15 seconds in the microwave,4.00186145646655,6.373424767372975,Mexican
 keeping these as a fave,4.95,6.1,Mexican
"  /  /  frostingnfettuccine  1 i didn't use mennonite salami or cheese, so i don't feel like i can completely be true to rate this recipe",4.158081691488613,6.550181722954218,Mexican
  i used regular sliced hard salami and cheddar/jack cheese,4.236763096972568,5.564015367362849,Mexican
"  i tried to get closer to the garlic salami by using garlic crescent rolls, but it just added a weird flavor",4.9041881357966846,5.66009460952106,Mexican
"  i think this would be better by using the original recipe, or skipping the salami and using ham instead",4.096207234755524,6.096356223844221,Mexican
  made and reviewed for zwt5,4.2,5.96,Mexican
always looking for new ways to prepare goat since i don't have it very often,4.625590228422706,6.1241982666338135,Mexican
 this was flavourful and really easy to make,4.155909785589069,6.2883900360853975,Mexican
 i served it with rice and beans and was a hit in my house,5.257051446603096,5.860881964615791,Mexican
  /  /  limeandspoontt  2 see 1  look very good ,4.899382504288165,6.352691676881376,Mexican
 can't wait to put it together,5.371559251559252,4.461559633027523,Mexican
 thanks,4.05,7.73,Mexican
such an interesting dessert to make ,4.6755333052376375,6.671417652601821,Mexican
 i had never cooked with guava paste before and i've fallen in love with the flavour,5.01911709264852,6.863754538852579,Mexican
 the light fruitiness of the guava was lovely with this flan which had a surprisingly light texture to it,3.65730198019802,6.905468750000001,Mexican
  /  /  izy hossack  1 beautifully made and a delicious flavor,4.474857336238077,6.474285361710777,Mexican
 i followed the recipe exactly,4.27624703087886,6.061347517730496,Mexican
" the flan itself has perfect texture however i would have preferred it to have a bit more kick of the guava, but that was easily fixed by adding a few guava paste slices on the side",4.298098852785303,5.770050795956634,Mexican
  /  /  jlg1306  fantastic,6.4,8.36,Mexican
yesss this is amazing,6.05,7.72,Mexican
 its a great drink to have at a barbecue or something because its so easy to make and not alot of ingredients,4.580074833842772,6.870049397871767,Mexican
 we already had everything in the house,4.56,7.26,Mexican
 definitely will be making this again for our next bbq,3.449125229103319,6.362247838616714,Mexican
  thoroughly awesome,5.727474747474748,6.679148936170213,Mexican
 it's an amazing summer (any season,4.6878586723768745,7.280441908240128,Mexican
) beer drink,5.19,6.67,Mexican
better than chelata,4.6,7.0,Mexican
  /  /  prayztwice  yes this is authentic and soooo tasty,4.939125799573561,6.900355029585799,Mexican
  i hate beer but if you give me one of these i could drink all night,4.491212733204919,6.063543133209092,Mexican
awesome,6.05,7.86,Mexican
 but 4 serrano peppers is a death sentence,4.616374570446735,3.3833333333333333,Mexican
 way to spicy i suggest 2 and i am not a chili light weight,5.141027066526437,5.541850956669609,Mexican
  /  /  angelaemvi  3 love this agua chili recipe,5.214540441176471,8.150869565217393,Mexican
 i prefer this over regular pico de gallo shrimp cocktail style faster and easier to make and taste just as good if not better,4.526002864860865,6.770586695434672,Mexican
 i wouldn't worry about how many peppers are put in you can take the membrane out to make it less hot or leave it in which i do i prefer it hot sour and salty,4.543397857716294,5.007424204250573,Mexican
 i like to add tomato just to color it up and the red onion is awesome in this recipe thumbs up  /  /  patrick p,4.63562271292695,6.89262149547415,Mexican
  1 a treat for shrimp lovers,4.752075471698113,7.177483870967743,Mexican
  loved this recipe,5.295639412997904,8.089826839826841,Mexican
 it reminds me of the mexican ceviches i grew up having,3.9,5.9,Mexican
  /  /  ivansocal  love this recipe,5.214540441176471,8.150869565217393,Mexican
 simply delicious and easy to make,4.305125181640644,6.817851212642283,Mexican
delicious for a savoury breakfast,4.963179297597042,7.385055248618784,Mexican
 served this with mango salsa for a sweet,4.069349294601301,6.6390911198701605,Mexican
sour kick,5.009302325581396,4.110865384615384,Mexican
 i also pan fried the rolled tortillas so they'd hold together and get a bit crispy,4.621813271521562,5.54529968805893,Mexican
  /  /  izy hossack  2 lovely,3.95,7.55,Mexican
 we used flour tortillas and it made 4 or 5,4.228129032258065,5.389333333333333,Mexican
" also used nopalitos from a jar since i don't have access to fresh, and used a large scoop of salsa since i didn't have a fresh tomato",3.890489394894778,5.6975643719459885,Mexican
" they would probably be good with cheese or chorizo or bacon, but that might defeat the purpose of eating nopalitos (to reduce the risk of diabetes)",5.039797128180959,5.599411768198172,Mexican
"  /  /  donut chef  1 this is one of my all time favorite breakfasts to eat, as when i was in college, i ate nopalitos and eggs tacos often",3.896407093495745,6.193331211742186,Mexican
 it brings back great memories,4.826300492901046,6.533367254030314,Mexican
" sometimes, i like to eat it along with fresh seasonal fruit",4.03073458224701,7.044105983123382,Mexican
  thank you for sharing,3.33,7.77,Mexican
  /  /  blue peacock  1 i found this to be a very easy and different dish to make,4.4307287183397115,6.435914373220037,Mexican
" i've always wanted to try nopalitos, and this was the perfect opportunity",6.424193946759832,6.291606130359288,Mexican
 i recommend it highly for those who want to try something different and yet easy to put together,5.150105331144147,5.948480908990366,Mexican
  /  /  bakersfieldmom  1 this can serve 4 very easily,4.237383471395518,6.237152785105902,Mexican
 i used flour tortillas and added shredded cheese,4.0304646464646465,5.447357512953367,Mexican
 i thank you for expanding my food for i never had napalitos before,4.683597285067873,7.709136690647481,Mexican
 they are mild kinda like okra and green beans,4.433070445547665,6.475211915718091,Mexican
 oh i do suggest simmering the tomatoes to remove excess liquid or drain them on a paper towel before adding them to the eggs,4.092097530064516,5.105931831195929,Mexican
 thanks,4.05,7.73,Mexican
this soup was wonderful,4.405968688845402,7.205555555555554,Mexican
  i tried to make it a little more healthy ,5.0815565815336186,6.456773427006922,Mexican
 i used low fat breakfast sausage in place of the chorizo and i baked the meatballs first so that any grease would be eliminated from the soup,4.405417817523011,5.344195387421298,Mexican
"  i also added a can of black beans, a can of corn and some sliced carrots to the soup when i added the meatballs",3.719262630488198,6.3675,Mexican
"  i cut corn tortillas with scissors into long strips, sprayed them with olive oil and baked them until really crisp and served on top",4.350505024924891,5.4881381135544025,Mexican
  next time i will top with sliced avocado,3.8574234606123152,6.338704095120503,Mexican
  this soup is even better the next day,3.825292467931063,6.863986430652808,Mexican
"  /  /  cindylou52  13 see 2 replies living in tucson, it's easy to get an incredible bowl of albondigas around every corner",4.471032603051532,6.0258456479324165,Mexican
" i've made it before but wanted to try something new so chose this recipe because it was ""the best""",5.7824741827143935,6.328404911516612,Mexican
 the flavor of this soup was amazing and the recipe did not disappoint,4.79882263177941,6.101209519174921,Mexican
 yummy,4.48,7.52,Mexican
 i make soups a lot and this is my new favorite soup recipe,4.552226813270123,6.800806837520815,Mexican
 the flavor of the chorizo adds everything to the soup,4.326858846918489,6.779032258064516,Mexican
" however, living in tucson, our chorizo is quite spicy so my kids couldn't eat the meatballs which was so disappointing for them",5.40517651787743,5.76470025750289,Mexican
