instruction_sentence,arousal,valence,cuisine
360°f and refry the fish a few pieces at a time until crisp and golden brown,4.151515250892629,5.9782182304821925,Mexican
" to serve, hold a tortilla in your hand and add a spoonful of guacamole",4.4321931550904825,6.065734355044699,Mexican
 top with fish and squeeze lime over the whole thing,4.381797404968663,5.98391509337335,Mexican
" then add the secret sauce, salsa, shredded cabbage, cilantro and onion as desired",5.619114548912238,5.887287903970453,Mexican
" rub rim of cocktail glass with rind of lemon or lime, dip rim in salt",4.671239603269164,5.865066275454601,Mexican
 shake ingredients with ice and strain into the salt,5.170930408426049,5.235135490423293,Mexican
rimmed glass,4.27,4.75,Mexican
" in a large pot, bring 1 gallon water to a boil",4.97,6.61,Mexican
" place tripe in the pot, reduce heat, and simmer 2 hours",3.70948051948052,4.886829268292683,Mexican
 periodically skim off fat with a spoon,4.81,2.28,Mexican
" drain water, reduce heat, and pour in a fresh gallon of water",3.599793215165324,5.1826237722691,Mexican
 drain,2.94,3.8,Mexican
" pour remaining 1 gallon water into the pot with tripe, and bring to a boil",4.391496195808211,5.705473980632739,Mexican
 stir in garlic and 1 chopped white onion,6.1137037037037025,5.6584375,Mexican
" season with salt, pepper, oregano, and red pepper",4.185440414507772,6.577708333333334,Mexican
" reduce heat, and simmer 1 hour",4.65,4.18,Mexican
" arrange the de arbol chile peppers on a baking sheet, and broil about 2 minutes, just until they begin to scorch",3.7946223125346465,5.716807313046474,Mexican
" remove from heat, slit lengthwise, and remove seeds",6.098622936302106,4.506470154753132,Mexican
" in a blender or food processor, blend the de arbol chile peppers and japones chile peppers until very finely chopped",5.92,7.65,Mexican
" mix into the pot, and continue cooking 2 hours over low heat",5.392908435131712,4.646362104474817,Mexican
 mix the hominy into the pot and continue cooking 1 hour,4.085420168067227,6.118668639053254,Mexican
 serve with condiments as listed under ingredients,4.83473469387755,5.258461538461539,Mexican
" menudo is at it's best made a day ahead of time to allow the ingredients to ""marry",3.902184526896269,6.24168225188558,Mexican
 prepare the meat: trim the fat from the meat,4.2856884467555965,4.968511445211973,Mexican
 cut into 2 large pieces,4.399649122807018,4.3354029850746265,Mexican
 put meat into a large non,4.681942604856512,5.599343065693431,Mexican
corrosive baking dish or pan,4.871634060126693,5.972689690262673,Mexican
 prepare the marinade/glaze: heat a griddle or large cast,4.93745436827705,5.14136611870374,Mexican
iron skillet over medium heat,5.317235421166306,4.634225352112676,Mexican
" tear chiles into flat pieces and toast a few at a time, pressing them against the hot surface, until they crack and blister",4.0941634372307725,4.541674734974769,Mexican
 flip them and press down again,5.151715575620768,5.195396825396825,Mexican
 transfer chiles to a large bowl and cover with boiling water,4.5107437432863104,5.668505643412326,Mexican
" weight down with a plate to keep them submerged, and soak at least 30 minutes",3.6797535434395003,5.502141251147801,Mexican
" meanwhile, roast the garlic in the same griddle or skillet, turning frequently, until soft inside and blackened outside, about 15 minutes",4.537590206993214,5.918915918865569,Mexican
 cool and peel,3.43,6.82,Mexican
" drain chiles, reserving 3/4 cup soaking liquid",3.6359405940594067,3.867520215633423,Mexican
" put chiles into a blender with garlic, cloves, sesame seeds, vinegar, cumin, peppercorns or ground pepper, and salt",4.728223495702006,5.356404448664044,Mexican
 process/blend until mixture is smooth,4.91,6.58,Mexican
 then strain through a medium,4.78,3.71,Mexican
mesh sieve into a bowl,3.47,5.33,Mexican
" remove 1/2 cup of mixture to a small bowl, and stir in the sugar",6.255234210795397,4.852664137769278,Mexican
 set aside to use for the final glazing,4.141032110091743,5.610508474576271,Mexican
 marinate the meat: spread the rest of the chile paste thoroughly over the meat,3.9330382863125726,6.811694024050112,Mexican
 cover completely and refrigerate at least 18 hours,5.28,5.32,Mexican
 cook (slow,4.44,6.16,Mexican
steam) the meat: preheat the oven to 325 degrees,2.95,6.16,Mexican
 use a deep wide roasting pan that has a tight lid,4.817389680643656,5.40006445078722,Mexican
 put a roasting rack into the bottom of the pan (it must sit at least 1 inch above the bottom of the pan,3.7200593777231843,5.0045580925780655,Mexican
) measure in 4 cups of water,4.984041353383458,5.812708333333334,Mexican
 then lay the marinated meat onto the rack and spread any marinade remaining in the marinating pan or dish,4.37576139305755,5.8360014348887095,Mexican
 cut a double thickness of heavy,4.656987172998221,4.632513744418346,Mexican
duty foil to cover the roasting pan,4.678029978586725,5.464454976303317,Mexican
" place the pan lid over, making sure the pan is covered as tightly as possible",3.9300412266986062,6.024549995984323,Mexican
 bake 4 hours,5.1,6.17,Mexican
 finishing the broth: remove the pan lid and foil,5.807373271889401,4.794117647058823,Mexican
 carefully remove the tender meat to a platter,5.547815273591947,5.614682057513162,Mexican
 take out the rack,5.4508860759493665,5.57485632183908,Mexican
 spoon the fat off the broth with a ladle,4.81,2.28,Mexican
 measure out the broth into a 1,5.275065420560748,5.595895765472314,Mexican
quart container,3.59,5.39,Mexican
" add water to equal 1 quart liquid if necessary, and pour into a saucepan",4.069131280509254,5.7839956360386955,Mexican
 puree the tomato in a blender and add it to the broth along with the oregano and cinnamon,3.8057943318949112,6.366905303630283,Mexican
 cover,5.28,5.32,Mexican
low heat 45 minutes,5.196845857859524,4.472528392109982,Mexican
 season with salt,3.811262626262626,6.4306,Mexican
 glaze the meat: heat oven to 375 degrees,4.495766486625309,5.726845459894097,Mexican
" remove meat from the bones, keeping pieces of meat as large as possible",4.750744366007501,5.7960232490447865,Mexican
" discard bones, gristle and excess fat",4.81,2.28,Mexican
 set meat on a baking sheet,4.374128923497487,6.009327659616551,Mexican
" brush lightly with reserved chile paste glaze, and bake 10 minutes to set the glaze",4.104451239750521,5.648344785225472,Mexican
 to serve: keep tortillas warm in a towel,3.2101973684210527,6.61025591687512,Mexican
covered basket,4.365761589403974,5.700231481481482,Mexican
 serve the broth in a tureen,5.41,5.46,Mexican
" present the meat on a large platter, or slice meat across the grain to serve it in deep plates, awash in the broth",4.619580166110898,6.000444081526373,Mexican
 combine onion and coriander in a small bowl to pass with the lime at the table,3.7542860762235337,5.357957473789927,Mexican
" melt butter in a large skillet, and saute onions for 5 minutes",3.4640435835351093,5.301428571428572,Mexican
 add in meat and tomatoes and mix with the onions,4.046118280568193,6.376525821596244,Mexican
" once heated through, break eggs over meat mixture and scramble together until done",4.382509751840456,6.090872703383951,Mexican
 sprinkle cheese over machaca mixture and let melt,3.6764940239043824,6.755634517766497,Mexican
 spoon mixture onto tortillas and fold and eat,5.69,7.47,Mexican
"  you can use sour cream and salsa if you like, but we like it without",4.1420285869770765,6.057684413980949,Mexican
 preheat the oven to 350 degrees,2.95,6.16,Mexican
" to make the fried tortilla strips, slice corn tortillas into thin strips",4.557936962750716,5.609123973406335,Mexican
" fry in a large skillet of hot oil until light golden brown and crisp, watching carefully so they do not burn",4.6388915011560385,5.44776060483851,Mexican
 remove with a slotted spoon and drain on paper towels,3.7921326790218712,4.5951243709947,Mexican
" to assemble the casserole, spread the corn strips on the bottom of a 9x13"" baking dish",3.9750042103014334,5.6215609133685,Mexican
" place the chicken on top and cover with the sauce, then top with cheese",3.6951851598702525,6.130924764962984,Mexican
 cover with foil and bake for 20 minutes or until heated through,4.719746960608534,5.502269608752086,Mexican
 spread the sour cream over the top of the casserole and serve,4.704502058838301,5.725110879100873,Mexican
" in salted boiling water, cook nopals for 3 minutes",4.1586823529411765,5.563870967741936,Mexican
 drain and rinse in cool water,3.70695652173913,5.750765326885787,Mexican
" in a large saute pan, heat oil and cook onion until translucent",5.2342681047765796,4.725625000000001,Mexican
 add nopal and cook for 3 more minutes,4.109910842680472,5.734534363562425,Mexican
" mix in tomatoes, 1/2 the cilantro and cook until tomatoes start to let off juices",4.330370241613071,6.285253940455342,Mexican
 take off heat and drain excess liquid,4.838238467891389,4.315164317243648,Mexican
 then put in large mixing bowl,4.240484581497797,5.162304347826087,Mexican
" add the remaining cilantro, lime juice and salt",4.226684213177601,6.038778368171812,Mexican
 serve with tortillas and cheese (whatever kind you like best),4.522740143812453,6.756514921992665,Mexican
 optional: take 2 cups of the nopal mixture and mix with 2 beaten eggs,4.866943975399886,4.517706624348008,Mexican
 serve in tortillas with cheese and hot sauce,4.318090953807963,5.878463904981911,Mexican
" finely chop two cups of the watermelon, and set aside",3.7448878923766817,5.8853003533568895,Mexican
 place remaining two cups watermelon in a blender,3.7172585492349723,5.835151315765775,Mexican
 process until smooth,5.288568464730291,5.890173010380622,Mexican
" pour pureed watermelon through a sieve into a pitcher, and discard the solids",4.64,6.75,Mexican
" add water, sugar and lime juice",4.506269239394687,6.49671287833381,Mexican
 stir until sugar dissolves,6.722004889975551,5.743245033112584,Mexican
 stir in chopped watermelon,6.351708428246013,5.698916408668731,Mexican
 cover and chill at least one hour,5.521080931928882,5.4620813240830035,Mexican
 preheat the oven to 350 degrees f,2.95,6.16,Mexican
 put the drained beans and chicken broth in a large bowl,3.922706361395864,5.395782223738798,Mexican
" in a saute pan, heat the olive oil over medium",5.045834586466166,4.572727272727272,Mexican
high heat,6.08286496350365,5.64963696369637,Mexican
" add the onion, tomato, chile, and garlic",4.0,6.23,Mexican
" saute until the onion is soft, about 5 minutes",3.83,5.28,Mexican
" rub the oregano, between palms of your hands and sprinkle over the beans",4.1260849012883485,6.444465408805032,Mexican
" add salt and pepper, to taste",4.581411411411411,6.325417957018149,Mexican
 add the beans and broth to the pan and simmer for 10 minutes,3.999877456974784,5.583519474425152,Mexican
 cool the beans for about 5 minutes before putting them in the blender,4.1105552950633,5.691029519753268,Mexican
 return the pureed mixture to the pan and gently reheat over medium,4.411379310344827,5.42909090909091,Mexican
"low heat, stirring frequently",4.54,3.66,Mexican
" using tongs, pass the tortillas 1 by 1 through the refried bean sauce until they are somewhat softened and coated on both sides with the sauce",4.357344328891939,5.561914160368765,Mexican
 set aside on a plate,3.587482459760627,5.747577596149025,Mexican
 fill each tortilla with 1/4 cup of shredded cheese,4.353268101761254,6.07819944598338,Mexican
inch baking dish,5.282902584493041,6.337651006711409,Mexican
" top with an additional 1 to 1 1/2 cups of the bean sauce, just enough to cover the beans but allow the edges of the folded tortillas to show",4.137915390291749,6.133206027080124,Mexican
 bake until cheese is melted about 10 to 15 minutes,4.253693048732147,5.829756154203437,Mexican
" to serve, drizzle with mexican sour cream lengthwise in a 2",4.564059196617336,5.255038167938931,Mexican
inch thick strip down the center of the dish,6.107252801855021,5.451888696815926,Mexican
 top with 8 overlapping red onion rings,4.839146608315099,6.590031948881789,Mexican
 heat the lard or oil in a large frying pan,4.5792358895211756,4.555266757865937,Mexican
" crumble chorizo into the hot oil and cook over low heat, stirring occasionally, until it is well heated through and beginning to fry",4.3748786301935105,5.444874290535349,Mexican
 remove with slotted spoon and set aside,5.638157248157247,4.640000000000001,Mexican
 drain all but 3 tablespoons of the oil,3.5100659340659344,3.8526361031518626,Mexican
 add the onion and sauté for 1 minute or until transparent but not browned,3.913361884368309,5.751444444444445,Mexican
" add the chopped tomatoes and cook, stirring occasionally, over medium high heat until reduced, about 3 minutes",4.6736759815414946,5.700450304629963,Mexican
 stir in the chorizo and the rice,7.67,5.0,Mexican
 add salt to taste,4.581411411411411,6.325417957018149,Mexican
" continue to cook, turning the rice over carefully, until the rice is well heated through and all of the flavors are combined",4.13073473183838,6.104283937179288,Mexican
 serve hot,4.7426415094339625,5.281547987616099,Mexican
 prepare sauce: broil the tomatoes and green chile(s) about 2,3.967284162378502,5.9788899117828445,Mexican
"3"" from the coils, on both sides",3.8069212410501194,5.421230769230769,Mexican
" peel tomatoes and chiles, core tomatoes, puree with onion in food processor with a little salt",4.427134669053837,6.601682989547877,Mexican
" heat oil in frying pan over medium high heat, pour in sauce, a little first, then the rest, heat bubbling until it thickens 2",5.502617204038048,5.136431963658889,Mexican
5 minutes,3.83,5.28,Mexican
" add coriander memelas: mix 1/2 tsp salt, 2 cups masa harina and 1 1/3 cups of water with a wooden spoon turn into a nice dough",4.631389704483134,6.064548693107673,Mexican
" divide into 16 pieces heat frying pan over medium high heat roll out memelas to about 3"" x 4"" between sheets or parchment, wax paper or plastic",4.730710952069381,5.303327548709244,Mexican
 fry 3,5.55,5.62,Mexican
"4 at a time until lightly golden on each side if possible, shape them into little dishes with raised edges sprinkle cheese on each memela, spoon on sauce, heat them in a 350f oven for 2",4.215317838066899,5.912339150416021,Mexican
3 minutes,3.83,5.28,Mexican
 heat up the lard for about 10 minutes in a large stock pot,4.4883060814375355,4.986963463099196,Mexican
 put in the meat,4.681942604856512,5.599343065693431,Mexican
 make sure each piece of meat is cut open and simmer for one hour,3.8851614411727,5.764456749136404,Mexican
 pour on the lime juice and leave for 30 minutes,3.6964569554436966,5.6502658645449255,Mexican
 put the sugar in a pot and heat until caramelized,5.43698306161171,5.343016101530776,Mexican
 stir and pour on top of the meat,4.800220015405441,6.047787054058981,Mexican
 fry the bacon in a large skillet until crispy,4.953548901274637,6.518719716367934,Mexican
" remove from pan, reserving drippings, cut into small pieces, and set aside",5.0938330730035695,4.442616088947023,Mexican
" add the oil to the bacon drippings over medium temperature, then sauté the chicken and beef strips until browned, stirring occasionally, about 7 minutes",3.970359399912114,5.8286992735647125,Mexican
" in another large saucepan over medium heat, stir together the boiling water and bouillon granules until dissolved",6.4979545454545455,5.676514657980457,Mexican
" add remaining ingredients (including reserved bacon) and the cooked meat strips, and simmer for 10 minutes",4.016851053793724,5.756444887013952,Mexican
" garnish, serve, and enjoy",5.0,7.67,Mexican
" note:  to make the seafood version of azteca's molcajete, omit the chicken/beef and instead have 1/2 pound shelled and deveined shrimp, 1/2 pound scallops, and as much skinned and deboned whitefish fillet pieces as you'd like (about 1/4 pound or more) which you will add in during the last 5 minutes of cooking",4.065662874202002,5.9283056176752815,Mexican
" note #2:  we've also added a can of black beans to the recipe, to good effect",4.175741560640686,6.597466372435929,Mexican
"  if the soup isn't as thick as you'd like it to be, try adding a can of refried beans ",4.727893645873479,6.649914865117969,Mexican
 it works well,4.291506849315068,6.652564102564103,Mexican
  we've also served it with crisp tortilla strips and a dollop of mexican crema instead of monterey jack,5.41,5.66,Mexican
"  it's a versatile recipe, so experiment and enjoy yourself",4.9249203539823,6.8690334572490706,Mexican
"  :)  if you have made the rich and delicious enchilada sauce recipe of mine, you might recognize many of the soup ingredients ",4.7774751076472155,6.413442959774303,Mexican
" to make the sauce into soup, use 2 cups of the sauce, add 1 cup hot water and 1/2 teaspoon chicken stock granules, then add the cooked chicken and garnish ingredients as usual",4.060234202641279,6.138653291666471,Mexican
" for the guacamole: in a food processor, mix together the avocados, lime zest and juice, jalapeno pepper and hot sauce",4.661957727994784,6.503850435484395,Mexican
 season with salt and pepper,3.811262626262626,6.4306,Mexican
 keep in the refrigerator,3.43,6.32,Mexican
 for the salsa verde: remove the papery husks from the tomatillos and rinse well,6.084890829694324,5.620967741935484,Mexican
 cut in half and place cut,4.174305555555556,4.531428571428571,Mexican
side down on a baking sheet lined with parchment paper,4.160947432719419,5.5534186706882,Mexican
 place under a broiler for about 5 minutes to lightly blacken the skin,3.8766375795314163,5.424793388429752,Mexican
" place the tomatillos, cilantro, lime zest and juice, garlic, onions and jalapeno pepper in a food processor (or blender) and pulse until all the ingredients are finely chopped and mixed",4.4923290133993,6.461497766655051,Mexican
 season with salt,3.811262626262626,6.4306,Mexican
 cool in the refrigerator,3.43,6.82,Mexican
 for the salsa roja: preheat the oven to 400 degrees f (200 degrees c),2.95,6.16,Mexican
" lay the tomatoes, garlic, serrano pepper and onions on a baking tray lined with parchment paper",3.39609836654659,5.9465079999228525,Mexican
 drizzle with the olive oil and season with salt and pepper,3.929412770508586,5.766556708233599,Mexican
" bake in the oven until the tomatoes look soft and the onions and peppers have a nice char, about 30 minutes",4.1980197907551,6.036857073047571,Mexican
 transfer into the recipient of the food processor and reduce into a coarse puree with the cilantro and lime zest and juice,4.75383271603793,5.9355353601565675,Mexican
 adjust seasoning,2.55,6.38,Mexican
 add a little water if too thick,4.474045174537987,6.419464788732395,Mexican
 keep in the refrigerator,3.43,6.32,Mexican
" for the salsa mexicana: mix together the tomatoes, cilantro, garlic, lime zest and juice, onions, jalapeno pepper, red bell pepper and olive oil",4.534239473532775,5.840322382851264,Mexican
 season with salt and pepper,3.811262626262626,6.4306,Mexican
 keep in the refrigerator,3.43,6.32,Mexican
" for the fish: to make the beer batter, in a large bowl, combine the flour, cornstarch, baking powder and some salt",4.438903662754139,6.247056565075474,Mexican
" blend the beer and eggs, and then quickly stir into the flour mixture (don't worry about a few lumps)",6.906170111700745,4.23131713915347,Mexican
 heat the oil in a deep,5.888820577164366,4.706666666666667,Mexican
 dust the fish pieces lightly with flour,3.756191904047976,4.731168396948709,Mexican
 dip into the beer batter and fry until crisp and golden brown,4.616355603603309,5.320869233863285,Mexican
 drain on paper towels,2.698819677325658,4.986006915300102,Mexican
" to serve: place the fried fish in a tortilla, add a dollop of mayonnaise, and top with shredded cabbage, onions and cilantro",3.730343135564115,6.1103936679361786,Mexican
" top with guacamole, salsa verde, salsa rosa and salsa mexicana",4.28,6.76,Mexican
" combine water, piloncillos, cinnamon sticks and green onions in large pot or dutch oven",3.6486740745139246,6.19306046947705,Mexican
 bring to a boil and cook until the piloncillos are dissolved and the syrup is dark from the spices,3.9358625587928913,5.794126346540077,Mexican
 taste,5.22,6.66,Mexican
 you may want to add additional brown sugar or spices depending on your personal tastes,4.219770094766352,6.1788067826073565,Mexican
 remove from heat and take out onions and cinnamon sticks,5.796872284759999,5.145506282230497,Mexican
 toast the french bread (you can do this ahead of time or while the syrup is cooking),3.6117058366685786,6.346063928273015,Mexican
 spread margarine liberally on both sides of toast,3.755731004600885,5.946795449314438,Mexican
" layer toast, cheese, raisins, and nuts in 2 9x13 pans (preferably glass), repeating until both pans are full, ending with a layer of cheese, raisins and nuts",4.22195219123506,5.731469534050179,Mexican
" pour the syrup over the top, dividing evenly between both pans, and making sure that all the bread is moistened",3.6465692858606933,6.4252765970151735,Mexican
 bake in a 350 degree oven for 30 to 40 minutes,3.814925506725144,5.762022873481058,Mexican
 serve hot or cold,4.898478248883498,4.926736293596036,Mexican
 store in the refrigerator,5.42,5.98,Mexican
 set a large (10,4.05,5.58,Mexican
inch) skillet over medium heat,7.26,4.16,Mexican
"  when hot, lay a few chile pieces on the hot surface in single layer",3.8424302432612274,5.434528343782637,Mexican
  press down with a metal spatula until they change color and become aromatic ,4.451510880654457,5.815380234164135,Mexican
 about 15 seconds,3.83,5.08,Mexican
"  flip the chiles and press down, toasting other side",5.114090896604769,5.160230561110459,Mexican
  remove to a bowl,5.442093023255813,4.473122529644269,Mexican
"  when all are toasted, cover chiles with hot tap water and weight with a plate",4.3385470773305785,5.402876846233585,Mexican
"  let soak until soft, about 30 minutes",3.4140919037199122,5.565185185185186,Mexican
" roast the tomatoes on a baking sheet 4 inches below a very hot broiler until blackened on all sides, about 10 minutes",4.172695267090274,5.848549625648201,Mexican
  remove & cool,5.508485523385301,5.056521739130435,Mexican
 return chile,4.7,5.2,Mexican
toasting skillet to medium heat,7.26,4.16,Mexican
  add the onion slices and all of the garlic,4.0,6.23,Mexican
"  roast the onion on both sides until soft and blackened in spots, about 8 minutes",4.30473332017193,5.899568250796912,Mexican
"  roast the garlic on all sides until soft and blackened in places, about 15 minutes",4.30473332017193,5.899568250796912,Mexican
  remove from skillet and cool,5.508485523385301,5.056521739130435,Mexican
 return the onion,4.7,5.2,Mexican
roasting skillet to medium heat,7.26,4.16,Mexican
"  pour in 1 tablespoon of the vegetable oil, then pour in the sesame seeds",4.163057199211046,6.58672131147541,Mexican
"  stir continually until the sesame seeds brown, about 2 minutes",5.468702791342268,5.484838056680161,Mexican
  scrape into a large bowl,3.9662727272727274,4.6297682119205295,Mexican
" use tongs to transfer chiles to the bowl with sesame seeds, saving the soaking water",4.391179193808246,6.097830348845764,Mexican
"  add the oregano, cloves, pepper, cinnamon, raisins and almonds to the chiles and sesame seeds",4.252424242424242,6.316605504587155,Mexican
soaking water to cover,5.12438,5.857147540983607,Mexican
  cover and blend at high speed until very smooth,5.438996677438974,6.250758858344178,Mexican
  set a medium,4.05,5.58,Mexican
mesh strainer over another bowl,3.47,5.33,Mexican
  pour in the chile puree and press through with a rubber spatula,5.06706827309237,5.568062015503876,Mexican
  discard the chile skins and sesame seed hulls left in the strainer,3.997692307692307,5.370495626822157,Mexican
  blend the remaining mixture with the soaking water,4.617878787878787,5.766535947712418,Mexican
  strain into the same bowl,4.144077669902913,4.669079754601227,Mexican
" when the roasted tomatoes are cool, peel off and discard skins",3.82,6.25,Mexican
  put the tomatoes in the blender,4.444892703862661,5.397835365853659,Mexican
  peel and roughly chop the roasted garlic,5.33,4.0,Mexican
  add to the blender along with the roughly chopped onion,4.716153846153846,4.905469798657718,Mexican
  cover and blend at high speed until smooth,5.438996677438974,6.250758858344178,Mexican
 wash and dry the skillet,3.76,4.64,Mexican
  set over medium,4.05,5.58,Mexican
high heat and add 1 tablespoon of the vegetable oil,4.809944900306035,5.684005643762923,Mexican
"  when hot, add the tomato puree",3.9072727272727272,6.238676470588235,Mexican
 cook ,4.44,6.16,Mexican
 stir almost continually ,7.67,5.0,Mexican
" until the tomato mixture thickens, 10 to 15 minutes",3.8249448123620304,5.55196261682243,Mexican
 set a large heavy pot over medium,4.370176452763338,5.104335679025313,Mexican
high heat,6.08286496350365,5.64963696369637,Mexican
  add the remaining 2 tablespoons of the vegetable oil,4.075642445707968,5.54149664495408,Mexican
"  when hot, add the chile puree and stir continuously until the mixture becomes very thick ",6.036037296037296,5.518529411764706,Mexican
 about 20 minutes,3.83,5.28,Mexican
" scrape in the cooked tomato mixture, bread crumbs and chocolate",4.361851866064593,6.000003197092438,Mexican
  add the chicken broth and stir until the chocolate melts,5.226710898172374,5.963337088089086,Mexican
  turn down the heat to medium,5.590285132382893,4.776547231270358,Mexican
low and cook 30 minutes,4.2535241800076475,4.8927937336814615,Mexican
" finally, remove from heat and stir in sugar & salt",6.5166203042605835,5.020471938751821,Mexican
" to make enchiladas with the sauce, just warm up some tortillas on a skillet or in the microwave",3.198518988238172,6.540834105653381,Mexican
  fill each tortillas with about 2 tablespoons of chicken and 1 tablespoon of mole sauce,4.022346412539033,6.08361922118496,Mexican
"  roll each tortilla, and lay three each on 4 dinner plates",3.870142995978996,6.127589208254268,Mexican
  douse each plate with 1/4 cup sauce (i use way  more) and top with a sprinkling of parsley,3.9584576957598587,5.680120530639749,Mexican
  serve immediately,5.41,5.46,Mexican
 preheat the oven to 450f (250c),2.95,6.16,Mexican
 beat well egg and water,4.663730868031555,6.145224709899997,Mexican
 open and separate crescent rolls,3.9176531798801397,5.246271884808187,Mexican
" place a salami link on each one, and sprinkle with cheese",3.2841224341932636,6.085553242042939,Mexican
" roll up from the long side and curve to form a ""little horn""",4.752015179736164,5.415118680920457,Mexican
 brush with beaten egg mixture and place on a greased or parchment paper lined cookie sheet,3.853770771851267,5.3528441290527775,Mexican
 bake 12,5.1,6.17,Mexican
"15 minutes, or until golden",4.25,7.79,Mexican
" brown cabrito in a large pot, use a little oil if it sticks",4.255099206349206,4.966577181208054,Mexican
 add salt and pepper and enough water to cover and cook until about half done,4.778790916484672,6.115139077780292,Mexican
" add chili powder, onion and comino seed to the mixture",3.854933333333333,6.30061170212766,Mexican
" when completely done and tender, mix flour in a bit of water to make a paste",4.722117571319164,5.813981844674766,Mexican
 stir into pot with cabrito mixture to make a gravy,4.916565479826981,5.67434962741692,Mexican
 preheat oven to 350°f place sugar and water in 9,3.9260788824458954,6.192385081090139,Mexican
inch round cake pan,4.317698823816198,5.9947553153387805,Mexican
 stir until sugar is slightly dissolved,6.722004889975551,5.743245033112584,Mexican
 place pan on stove on medium heat,3.8781074088841856,5.4146779124048265,Mexican
" cook sugar about 10 minutes, without stirring, until sugar turns a golden to golden brown color",4.736358194662718,6.6609242567026365,Mexican
" use oven mitts to swirl pan, coating bottom and sides with caramel",3.9215668259176137,5.588706868375386,Mexican
 place pan on wire rack to cool and harden caramel slightly,3.4248225363941165,6.0051106001513475,Mexican
" meanwhile, place remaining ingredients in blender container",3.493157894736842,5.366451612903225,Mexican
 cover,5.28,5.32,Mexican
 blend until smooth,4.91,6.58,Mexican
 pour mixture over cooled and hardened caramel in pan,4.216612903225807,5.891267605633803,Mexican
 cover with foil,5.28,5.32,Mexican
 place a large shallow baking pan in oven,3.5422985574362187,5.590245928929862,Mexican
 place cake pan in baking pan,4.185226958275851,5.988631777303248,Mexican
 carefully pour hot water into baking pan so it comes halfway up side of cake pan,4.6448638935557405,5.785496556344877,Mexican
 bake 1 hour or until knife inserted in center comes out clean,5.180124158980049,5.638857605600612,Mexican
 remove cake pan from water bath,5.169161021484323,5.953623485330072,Mexican
 cool on wire rack,3.0236111111111112,6.506280991735537,Mexican
 carefully loosen sides of custard from pan with a knife,5.020721797323136,5.027051234522133,Mexican
 cover and refrigerate 3 hours or until chilled,5.28,5.32,Mexican
 may be chilled overnight,3.43,6.18,Mexican
" to unmold, invert pan onto a large shallow plate or pie dish",4.174298812402989,5.564931271996059,Mexican
" garnish with mango and kiwi slices, if desired",4.797691581856171,6.444409448818898,Mexican
" *guava paste is available in the international aisle of grocery store, it is sold in bars",5.032066989106031,6.135346533058904,Mexican
 in huge glass or pitcher toss a few cubes of ice,3.9641046342644914,5.328999090081893,Mexican
  add all the ingredients,4.0,6.23,Mexican
"  fill a pint glass, get comfortable, and have a refreshing sip",4.15007489303188,6.237549838297051,Mexican
" place chicken, onion and garlic in a large pot",3.417875647668394,5.568791208791209,Mexican
 add water and season well with salt,4.191113084130034,6.72256497624206,Mexican
 lower heat to medium and simmer for 1 hour,5.670587002096435,4.210206896551725,Mexican
 remove 3/4 cup broth and set aside,5.638157248157247,4.640000000000001,Mexican
" when ready to serve, add hominy to pot and simmer 10­",3.968319566082803,6.104454181190345,Mexican
